publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	location	title_notes	staff_notes	vendor_id	oclc_collection_name	oclc_collection_id	oclc_entry_id	oclc_linkscheme	oclc_number	ACTION
npj Schizophrenia		2334-265X	2015-03-04			2018-09-03			https://www.nature.com/npjschz		npjschz		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	40067125	npg	873604189	raw
Neuropsychopharmacology	0893-133X	1740-634X	2010-12-08			2018-09-06			https://www.nature.com/npp		npp		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	951819	npg	874998624	raw
British Journal of Cancer	0007-0920	1532-1827	1998-12-11			2018-09-12			https://www.nature.com/bjc		bjc		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	40067066	npg	1084333379	raw
Nature Genetics		1546-1718	2010-12-26			2018-07-30			https://www.nature.com/ng		ng		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	40067087	npg	44288258	raw
Light: Science and Applications		2047-7538	2012-03-29			2018-09-12			https://www.nature.com/lsa		lsa		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	40067079	npg	806250237	raw
NPG Asia Materials		1884-4057	2012-01-18			2018-09-12			https://www.nature.com/am		am		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	40067106	npg	972053750	raw
Nature Communications		2041-1723	2010-04-12			2018-09-14			https://www.nature.com/ncomms		ncomms		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	40067085	npg	614340895	raw
International Journal of Impotence Research		1476-5489	2009-04-23			2018-05-18			https://www.nature.com/ijir		ijir		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	944688	npg	39928711	raw
npj Clean Water		2059-7037	2018-04-26			2018-09-14			https://www.nature.com/npjcleanwater		npjcleanwater		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	40067111	npg	974303007	raw
Polymer Journal	0032-3896	1349-0540	1970	1	1	2012	44	12	https://www.nature.com/pj		pj		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	2733885	npg	53864191	raw
npj 2D Materials and Applications		2397-7132	2017-04-11			2018-09-14			https://www.nature.com/npj2dmaterials		npj2dmaterials		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	40067107	npg	1014192254	raw
Spinal Cord		1476-5624	1963						https://www.nature.com/sc		sc		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	944704	npg	746132984	raw
Prostate Cancer and Prostatic Diseases	1365-7852	1476-5608	2009-06-02			2018-08-21			https://www.nature.com/pcan		pcan		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	944703	npg	794542672	raw
Nature Reviews Clinical Oncology		1759-4782	2013-08-27			2018-08-06			https://www.nature.com/nrclinonc		nrclinonc		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	40067096	npg	317559427	raw
Communications Chemistry		2399-3669	2018-03-08			2018-09-06			https://www.nature.com/commschem		commschem		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	40067072	npg	1048880579	raw
International Journal of Oral Science	1674-2818	2049-3169	2012-01-12			2018-09-03			https://www.nature.com/ijos		ijos		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	40067078	npg	551809076	raw
Nature Biotechnology		1546-1696	2002-10-07			2018-07-06			https://www.nature.com/nbt		nbt		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	40067082	npg	42019113	raw
Nature Reviews Microbiology		1740-1534	2017-01-03			2017-01-03			https://www.nature.com/nrmicro		nrmicro		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	40067100	npg	53226144	raw
Nature		1476-4687	2005-10-05			2018-08-29			https://www.nature.com/nature		nature		fulltext		Nature Publishing Group					Nature Open Access Content	NPG.openAccess	40067081	npg	47076528	raw
